Date,Visitor,Visitor_PTS,Home,Home_PTS,Box Score,#OTs,Attend.
Wed Nov 16 2016 07:30pm,Detroit Pistons,102,New York Knicks,105,Box Score,0,19812
Wed Nov 16 2016 08:00pm,Houston Rockets,103,Oklahoma City Thunder,105,Box Score,0,18203
Wed Nov 16 2016 07:00pm,New Orleans Pelicans,82,Orlando Magic,89,Box Score,0,16127
Wed Nov 16 2016 07:00pm,Washington Wizards,102,Philadelphia 76ers,109,Box Score,0,14863
Wed Nov 16 2016 10:30pm,San Antonio Spurs,110,Sacramento Kings,105,Box Score,0,17608
Wed Nov 16 2016 08:00pm,Golden State Warriors,127,Toronto Raptors,121,Box Score,0,21050
Thu Nov 17 2016 08:00pm,Portland Trail Blazers,109,Houston Rockets,126,Box Score,0,15550
Thu Nov 17 2016 07:30pm,Milwaukee Bucks,73,Miami Heat,96,Box Score,0,19600
Thu Nov 17 2016 08:00pm,Philadelphia 76ers,86,Minnesota Timberwolves,110,Box Score,0,16866
Thu Nov 17 2016 10:30pm,Chicago Bulls,85,Utah Jazz,77,Box Score,0,19911
Thu Nov 17 2016 07:00pm,New York Knicks,112,Washington Wizards,119,Box Score,0,16704
Fri Nov 18 2016 08:00pm,Golden State Warriors,104,Boston Celtics,88,Box Score,0,18624
Fri Nov 18 2016 07:00pm,Atlanta Hawks,96,Charlotte Hornets,100,Box Score,0,17989
Fri Nov 18 2016 07:30pm,Detroit Pistons,81,Cleveland Cavaliers,104,Box Score,0,20562
Fri Nov 18 2016 08:30pm,Memphis Grizzlies,80,Dallas Mavericks,64,Box Score,0,19715
Fri Nov 18 2016 09:00pm,Toronto Raptors,113,Denver Nuggets,111,Box Score,1,12476
Fri Nov 18 2016 07:00pm,Phoenix Suns,116,Indiana Pacers,96,Box Score,0,16780
Fri Nov 18 2016 10:30pm,San Antonio Spurs,116,Los Angeles Lakers,107,Box Score,0,18997
Fri Nov 18 2016 08:00pm,Portland Trail Blazers,101,New Orleans Pelicans,113,Box Score,0,15552
Fri Nov 18 2016 08:00pm,Brooklyn Nets,105,Oklahoma City Thunder,124,Box Score,0,18203
Fri Nov 18 2016 10:30pm,Los Angeles Clippers,121,Sacramento Kings,115,Box Score,0,17608
Sat Nov 19 2016 07:00pm,Boston Celtics,94,Detroit Pistons,92,Box Score,0,16107
Sat Nov 19 2016 05:00pm,Utah Jazz,102,Houston Rockets,111,Box Score,0,14760
Sat Nov 19 2016 10:30pm,Chicago Bulls,95,Los Angeles Clippers,102,Box Score,0,19060
Sat Nov 19 2016 08:00pm,Minnesota Timberwolves,71,Memphis Grizzlies,93,Box Score,0,17112
Sat Nov 19 2016 08:30pm,Golden State Warriors,124,Milwaukee Bucks,121,Box Score,0,18717
Sat Nov 19 2016 07:00pm,Charlotte Hornets,116,New Orleans Pelicans,121,Box Score,1,15739
Sat Nov 19 2016 07:00pm,Dallas Mavericks,87,Orlando Magic,95,Box Score,0,18846
Sat Nov 19 2016 07:30pm,Phoenix Suns,105,Philadelphia 76ers,120,Box Score,0,18125
Sat Nov 19 2016 07:00pm,Miami Heat,114,Washington Wizards,111,Box Score,0,15848
Sun Nov 20 2016 03:30pm,Portland Trail Blazers,129,Brooklyn Nets,109,Box Score,0,16608
Sun Nov 20 2016 09:00pm,Utah Jazz,91,Denver Nuggets,105,Box Score,0,12565
Sun Nov 20 2016 09:30pm,Chicago Bulls,118,Los Angeles Lakers,110,Box Score,0,18997
Sun Nov 20 2016 12:00pm,Atlanta Hawks,94,New York Knicks,104,Box Score,0,19812
Sun Nov 20 2016 07:00pm,Indiana Pacers,115,Oklahoma City Thunder,111,Box Score,1,18203
Sun Nov 20 2016 09:00pm,Toronto Raptors,99,Sacramento Kings,102,Box Score,0,17608
Mon Nov 21 2016 07:00pm,Memphis Grizzlies,105,Charlotte Hornets,90,Box Score,0,14181
Mon Nov 21 2016 07:30pm,Houston Rockets,99,Detroit Pistons,96,Box Score,0,13632
Mon Nov 21 2016 07:00pm,Golden State Warriors,120,Indiana Pacers,83,Box Score,0,17923
Mon Nov 21 2016 10:30pm,Toronto Raptors,115,Los Angeles Clippers,123,Box Score,0,19060
Mon Nov 21 2016 08:00pm,Orlando Magic,89,Milwaukee Bucks,93,Box Score,0,12306
Mon Nov 21 2016 08:00pm,Boston Celtics,99,Minnesota Timberwolves,93,Box Score,0,13167
Mon Nov 21 2016 07:00pm,Miami Heat,94,Philadelphia 76ers,101,Box Score,0,16477
Mon Nov 21 2016 08:30pm,Dallas Mavericks,91,San Antonio Spurs,96,Box Score,0,18418
Mon Nov 21 2016 07:00pm,Phoenix Suns,101,Washington Wizards,106,Box Score,0,12790
Tue Nov 22 2016 07:30pm,New Orleans Pelicans,112,Atlanta Hawks,94,Box Score,0,19120
Tue Nov 22 2016 09:00pm,Chicago Bulls,107,Denver Nuggets,110,Box Score,0,14328
Tue Nov 22 2016 10:30pm,Oklahoma City Thunder,109,Los Angeles Lakers,111,Box Score,0,18997
Tue Nov 22 2016 07:30pm,Portland Trail Blazers,103,New York Knicks,107,Box Score,0,19812
Wed Nov 23 2016 07:30pm,Boston Celtics,111,Brooklyn Nets,92,Box Score,0,16210
Wed Nov 23 2016 07:00pm,San Antonio Spurs,119,Charlotte Hornets,114,Box Score,0,18515
Wed Nov 23 2016 07:00pm,Portland Trail Blazers,125,Cleveland Cavaliers,137,Box Score,0,20562
Wed Nov 23 2016 08:30pm,Los Angeles Clippers,124,Dallas Mavericks,104,Box Score,0,20042
Wed Nov 23 2016 07:30pm,Miami Heat,84,Detroit Pistons,107,Box Score,0,14520
Wed Nov 23 2016 10:30pm,Los Angeles Lakers,106,Golden State Warriors,149,Box Score,0,19596
Wed Nov 23 2016 08:00pm,Toronto Raptors,115,Houston Rockets,102,Box Score,0,18055
Wed Nov 23 2016 07:00pm,Atlanta Hawks,96,Indiana Pacers,85,Box Score,0,16032
Wed Nov 23 2016 09:30pm,Minnesota Timberwolves,96,New Orleans Pelicans,117,Box Score,0,15555
Wed Nov 23 2016 07:00pm,Phoenix Suns,92,Orlando Magic,87,Box Score,0,17069
Wed Nov 23 2016 07:00pm,Memphis Grizzlies,104,Philadelphia 76ers,99,Box Score,2,15880
Wed Nov 23 2016 10:30pm,Oklahoma City Thunder,101,Sacramento Kings,116,Box Score,0,17608
Wed Nov 23 2016 09:00pm,Denver Nuggets,83,Utah Jazz,108,Box Score,0,19229
Fri Nov 25 2016 01:00pm,San Antonio Spurs,109,Boston Celtics,103,Box Score,0,18624
Fri Nov 25 2016 07:30pm,Dallas Mavericks,90,Cleveland Cavaliers,128,Box Score,0,20562
Fri Nov 25 2016 09:00pm,Oklahoma City Thunder,132,Denver Nuggets,129,Box Score,1,14327
Fri Nov 25 2016 07:30pm,Los Angeles Clippers,97,Detroit Pistons,108,Box Score,0,17023
Fri Nov 25 2016 08:00pm,Brooklyn Nets,97,Indiana Pacers,118,Box Score,0,16083
Fri Nov 25 2016 10:30pm,Golden State Warriors,109,Los Angeles Lakers,85,Box Score,0,18997
Fri Nov 25 2016 08:00pm,Miami Heat,90,Memphis Grizzlies,81,Box Score,0,17222
Fri Nov 25 2016 08:00pm,Toronto Raptors,105,Milwaukee Bucks,99,Box Score,0,16223
Fri Nov 25 2016 07:30pm,Charlotte Hornets,111,New York Knicks,113,Box Score,1,19812
Fri Nov 25 2016 07:00pm,Washington Wizards,94,Orlando Magic,91,Box Score,0,17103
Fri Nov 25 2016 07:30pm,Chicago Bulls,105,Philadelphia 76ers,89,Box Score,0,18234
Fri Nov 25 2016 09:00pm,Minnesota Timberwolves,98,Phoenix Suns,85,Box Score,0,16728
Fri Nov 25 2016 10:00pm,New Orleans Pelicans,104,Portland Trail Blazers,119,Box Score,0,19393
Fri Nov 25 2016 10:30pm,Houston Rockets,117,Sacramento Kings,104,Box Score,0,17608
Fri Nov 25 2016 08:00pm,Atlanta Hawks,68,Utah Jazz,95,Box Score,0,19911
Sat Nov 26 2016 07:00pm,New York Knicks,102,Charlotte Hornets,107,Box Score,0,19195
Sat Nov 26 2016 10:30pm,Minnesota Timberwolves,102,Golden State Warriors,115,Box Score,0,19596
Sat Nov 26 2016 08:00pm,Memphis Grizzlies,110,Miami Heat,107,Box Score,0,19600
Sat Nov 26 2016 08:00pm,Detroit Pistons,88,Oklahoma City Thunder,106,Box Score,0,18203
Sat Nov 26 2016 07:00pm,San Antonio Spurs,112,Washington Wizards,100,Box Score,0,17066
Sun Nov 27 2016 06:00pm,Sacramento Kings,122,Brooklyn Nets,105,Box Score,0,13646
Sun Nov 27 2016 07:00pm,New Orleans Pelicans,81,Dallas Mavericks,91,Box Score,0,19302
Sun Nov 27 2016 06:00pm,Los Angeles Clippers,70,Indiana Pacers,91,Box Score,0,15572
Sun Nov 27 2016 09:30pm,Atlanta Hawks,94,Los Angeles Lakers,109,Box Score,0,18997
Sun Nov 27 2016 06:00pm,Milwaukee Bucks,104,Orlando Magic,96,Box Score,0,16521
Sun Nov 27 2016 01:00pm,Cleveland Cavaliers,112,Philadelphia 76ers,108,Box Score,0,19311
Sun Nov 27 2016 03:30pm,Denver Nuggets,120,Phoenix Suns,114,Box Score,0,15365
Sun Nov 27 2016 09:00pm,Houston Rockets,130,Portland Trail Blazers,114,Box Score,0,19393
Mon Nov 28 2016 10:30pm,Atlanta Hawks,100,Golden State Warriors,105,Box Score,0,19596
Mon Nov 28 2016 08:00pm,Charlotte Hornets,104,Memphis Grizzlies,85,Box Score,0,13143
Mon Nov 28 2016 07:30pm,Boston Celtics,112,Miami Heat,104,Box Score,0,19600
Mon Nov 28 2016 08:00pm,Utah Jazz,112,Minnesota Timberwolves,103,Box Score,0,9384
Mon Nov 28 2016 07:30pm,Oklahoma City Thunder,112,New York Knicks,103,Box Score,0,19812
Mon Nov 28 2016 07:30pm,Philadelphia 76ers,95,Toronto Raptors,122,Box Score,0,19800
Mon Nov 28 2016 07:00pm,Sacramento Kings,95,Washington Wizards,101,Box Score,1,12571
Tue Nov 29 2016 07:30pm,Los Angeles Clippers,122,Brooklyn Nets,127,Box Score,2,15681
Tue Nov 29 2016 07:00pm,Detroit Pistons,112,Charlotte Hornets,89,Box Score,0,14266
Tue Nov 29 2016 08:00pm,Cleveland Cavaliers,101,Milwaukee Bucks,118,Box Score,0,16559
Tue Nov 29 2016 08:00pm,Los Angeles Lakers,88,New Orleans Pelicans,105,Box Score,0,14024
Tue Nov 29 2016 08:30pm,Orlando Magic,95,San Antonio Spurs,83,Box Score,0,18418
Tue Nov 29 2016 09:00pm,Houston Rockets,101,Utah Jazz,120,Box Score,0,19911
Wed Nov 30 2016 07:30pm,Detroit Pistons,121,Boston Celtics,114,Box Score,0,17338
Wed Nov 30 2016 08:00pm,Los Angeles Lakers,96,Chicago Bulls,90,Box Score,0,21773
Wed Nov 30 2016 08:30pm,San Antonio Spurs,94,Dallas Mavericks,87,Box Score,0,19245
Wed Nov 30 2016 09:00pm,Miami Heat,106,Denver Nuggets,98,Box Score,0,11471
Wed Nov 30 2016 08:00pm,New York Knicks,106,Minnesota Timberwolves,104,Box Score,0,13987
Wed Nov 30 2016 08:00pm,Washington Wizards,115,Oklahoma City Thunder,126,Box Score,1,18203
Wed Nov 30 2016 09:00pm,Atlanta Hawks,107,Phoenix Suns,109,Box Score,0,15909
Wed Nov 30 2016 10:00pm,Indiana Pacers,109,Portland Trail Blazers,131,Box Score,0,19107
Wed Nov 30 2016 07:30pm,Memphis Grizzlies,105,Toronto Raptors,120,Box Score,0,19800
