,Date,Visitor,Visitor_PTS,Home,Home_PTS,Day,Day_Num,Spread,Winner,Home_TotalWins,Home_TotalLosses,Home_HomeWins,Home_HomeLosses,Home_Streak,Home_CumSpread,Home_AvgSpread,Home_CumPTS,Home_AvgPTS,Home_GamesPlayed,Home_DaysPast,Visitor_TotalWins,Visitor_TotalLosses,Visitor_VisitorWins,Visitor_VisitorLosses,Visitor_Streak,Visitor_CumSpread,Visitor_AvgSpread,Visitor_CumPTS,Visitor_AvgPTS,Visitor_GamesPlayed,Visitor_DaysPast,Home_ELO,Visitor_ELO
1226,2008-04-16 19:00:00,Washington Wizards,83,Orlando Magic,103,Wed,4,20,1,51,30,24,16,2,428,5.283950617283951,8464,104.49382716049382,81,0,43,38,18,22,2,-7,-0.08641975308641975,8021,99.0246913580247,81,0,1569,1491
1227,2008-04-16 19:00:00,Portland Trail Blazers,91,Phoenix Suns,100,Wed,4,9,1,54,27,29,11,1,405,5.0,8926,110.19753086419753,81,0,41,40,13,27,2,-71,-0.8765432098765432,7729,95.41975308641975,81,0,1592,1430
1228,2008-04-16 20:30:00,Utah Jazz,80,San Antonio Spurs,109,Wed,4,29,1,55,26,33,7,1,364,4.493827160493828,7711,95.19753086419753,81,0,54,27,17,23,2,593,7.320987654320987,8630,106.54320987654322,81,0,1574,1654
1229,2008-04-19 12:30:00,Washington Wizards,86,Cleveland Cavaliers,93,Sat,7,7,1,45,37,27,14,-1,-29,-0.35365853658536583,7903,96.3780487804878,82,0,43,39,18,23,-1,-27,-0.32926829268292684,8104,98.82926829268293,82,0,1469,1478
1230,2008-04-19 20:30:00,Utah Jazz,93,Houston Rockets,82,Sat,7,-11,0,55,27,31,10,1,384,4.682926829268292,7931,96.71951219512195,82,0,54,28,17,24,-1,564,6.878048780487805,8710,106.21951219512195,82,0,1591,1626
1231,2008-04-19 18:00:00,Dallas Mavericks,92,New Orleans Hornets,104,Sat,7,12,1,56,26,30,11,-1,433,5.280487804878049,8270,100.85365853658537,82,0,51,31,17,24,1,372,4.536585365853658,8234,100.41463414634147,82,0,1591,1553
1232,2008-04-19 14:00:00,Phoenix Suns,115,San Antonio Spurs,117,Sat,7,2,1,56,26,34,7,2,393,4.7926829268292686,7820,95.36585365853658,82,0,55,27,25,16,2,414,5.048780487804878,9026,110.07317073170732,82,0,1601,1596
1233,2008-04-20 20:30:00,Atlanta Hawks,81,Boston Celtics,104,Sun,1,23,1,66,16,35,6,4,841,10.25609756097561,8245,100.54878048780488,82,0,37,45,12,29,-3,-149,-1.8170731707317074,8054,98.21951219512195,82,0,1679,1406
1234,2008-04-20 18:00:00,Philadelphia 76ers,90,Detroit Pistons,86,Sun,1,-4,0,59,23,34,7,4,606,7.390243902439025,7992,97.46341463414635,82,0,40,42,18,23,-4,34,0.4146341463414634,7923,96.6219512195122,82,0,1602,1476
1235,2008-04-20 12:00:00,Denver Nuggets,114,Los Angeles Lakers,128,Sun,1,14,1,57,25,30,11,4,595,7.2560975609756095,8904,108.58536585365853,82,0,50,32,17,24,2,304,3.707317073170732,9074,110.65853658536585,82,0,1626,1561
1236,2008-04-20 12:30:00,Toronto Raptors,100,Orlando Magic,114,Sun,1,14,1,52,30,25,16,3,448,5.463414634146342,8567,104.47560975609755,82,0,41,41,16,25,-1,238,2.902439024390244,8215,100.1829268292683,82,0,1581,1442
1237,2008-04-21 19:00:00,Washington Wizards,86,Cleveland Cavaliers,116,Mon,2,30,1,46,37,28,14,1,-22,-0.26506024096385544,7996,96.33734939759036,83,0,43,40,18,24,-2,-34,-0.40963855421686746,8190,98.67469879518072,83,0,1477,1469
1238,2008-04-21 20:30:00,Utah Jazz,90,Houston Rockets,84,Mon,2,-6,0,55,28,31,11,-1,373,4.493975903614458,8013,96.5421686746988,83,0,55,28,18,24,1,575,6.927710843373494,8803,106.06024096385542,83,0,1581,1635
1239,2008-04-22 18:00:00,Dallas Mavericks,103,New Orleans Hornets,127,Tue,3,24,1,57,26,31,11,1,445,5.36144578313253,8374,100.89156626506023,83,0,51,32,17,25,-1,360,4.337349397590361,8326,100.3132530120482,83,0,1601,1542
