,Date,Visitor,Visitor_PTS,Home,Home_PTS,Day,Day_Num,Spread,Winner,Home_ELO,Visitor_ELO,Home_TotalWins,Home_TotalLosses,Home_HomeWins,Home_HomeLosses,Home_Streak,Home_CumSpread,Home_AvgSpread,Home_CumPTS,Home_AvgPTS,Home_GamesPlayed,Home_DaysPast,Visitor_TotalWins,Visitor_TotalLosses,Visitor_VisitorWins,Visitor_VisitorLosses,Visitor_Streak,Visitor_CumSpread,Visitor_AvgSpread,Visitor_CumPTS,Visitor_AvgPTS,Visitor_GamesPlayed,Visitor_DaysPast
907,2014-03-05 20:00:00,New York Knicks,118,Minnesota Timberwolves,106,Wed,4,-12,0,1586.5809948409494,1427.7448851228087,30,29,16,11,3,241,4.084745762711864,6263,106.15254237288136,59,0,21,40,9,20,-7,-190,-3.1147540983606556,5938,97.34426229508196,61,0
908,2014-03-05 19:00:00,Houston Rockets,101,Orlando Magic,89,Wed,4,-12,0,1355.6553707477765,1656.4651671116737,19,43,15,15,1,-309,-4.983870967741935,5992,96.64516129032258,62,0,41,19,17,12,2,272,4.533333333333333,6385,106.41666666666667,60,0
909,2014-03-05 22:30:00,Atlanta Hawks,78,Portland Trail Blazers,102,Wed,4,24,1,1616.7597781959241,1449.0425205136519,41,19,23,8,-1,291,4.85,6469,107.81666666666666,60,0,26,32,9,21,-3,-23,-0.39655172413793105,5908,101.86206896551724,58,0
910,2014-03-05 19:00:00,Utah Jazz,91,Washington Wizards,104,Wed,4,13,1,1557.8133915843334,1423.8813959556812,31,29,15,15,-1,39,0.65,6037,100.61666666666666,60,0,21,39,7,23,-3,-353,-5.883333333333334,5679,94.65,60,0
911,2014-03-06 22:30:00,Los Angeles Clippers,142,Los Angeles Lakers,94,Thu,5,-48,0,1377.0785943188102,1673.922519611849,21,40,10,19,-1,-324,-5.311475409836065,6195,101.55737704918033,61,0,42,20,17,15,5,403,6.5,6645,107.1774193548387,62,0
912,2014-03-06 21:00:00,Oklahoma City Thunder,122,Phoenix Suns,128,Thu,5,6,1,1566.9028634486908,1679.7116069668627,35,25,21,12,-1,167,2.783333333333333,6309,105.15,60,0,46,15,20,9,3,423,6.934426229508197,6430,105.40983606557377,61,0
913,2014-03-06 20:00:00,Miami Heat,87,San Antonio Spurs,111,Thu,5,24,1,1654.6974927281458,1690.9619342706887,44,16,21,8,4,374,6.233333333333333,6256,104.26666666666667,60,0,43,15,19,11,-1,362,6.241379310344827,6071,104.67241379310344,58,0
914,2014-03-07 19:30:00,Brooklyn Nets,84,Boston Celtics,91,Fri,6,7,1,1389.661270672167,1551.1282570663243,20,41,12,19,-2,-238,-3.901639344262295,5816,95.34426229508196,61,0,30,29,12,18,4,-98,-1.6610169491525424,5756,97.55932203389831,59,0
915,2014-03-07 19:00:00,Cleveland Cavaliers,92,Charlotte Bobcats,101,Fri,6,9,1,1506.3678484760544,1427.788139539729,28,33,16,14,1,-111,-1.819672131147541,5823,95.45901639344262,61,0,24,38,9,22,-2,-277,-4.467741935483871,6016,97.03225806451613,62,0
916,2014-03-07 19:00:00,Memphis Grizzlies,85,Chicago Bulls,77,Fri,6,-8,0,1572.4314572721335,1588.982911609588,34,27,18,10,1,59,0.9672131147540983,5692,93.31147540983606,61,0,34,26,16,12,-1,29,0.48333333333333334,5742,95.7,60,0
917,2014-03-07 20:30:00,Portland Trail Blazers,98,Dallas Mavericks,103,Fri,6,5,1,1554.4967542549227,1625.8161339308817,36,26,19,10,-3,128,2.064516129032258,6477,104.46774193548387,62,0,42,19,18,11,1,315,5.163934426229508,6571,107.72131147540983,61,0
918,2014-03-07 21:00:00,Los Angeles Lakers,126,Denver Nuggets,134,Fri,6,8,1,1423.3208373577856,1369.4032787421288,26,34,15,16,1,-143,-2.3833333333333333,6170,102.83333333333333,60,0,21,41,11,21,-2,-372,-6.0,6289,101.43548387096774,62,0
919,2014-03-07 22:30:00,Atlanta Hawks,97,Golden State Warriors,111,Fri,6,14,1,1621.7054549421516,1439.9861647786943,38,24,18,10,2,290,4.67741935483871,6402,103.25806451612904,62,0,26,33,9,22,-4,-47,-0.7966101694915254,5986,101.45762711864407,59,0
920,2014-03-07 21:30:00,Indiana Pacers,86,Houston Rockets,112,Fri,6,26,1,1659.2860946191631,1622.354412476233,42,19,24,7,3,284,4.655737704918033,6486,106.32786885245902,61,0,46,15,17,11,-2,442,7.245901639344262,6031,98.8688524590164,61,0
