,Date,Visitor,Visitor_PTS,Home,Home_PTS,Day,Day_Num,Spread,Winner,Home_TotalWins,Home_TotalLosses,Home_HomeWins,Home_HomeLosses,Home_Streak,Home_CumSpread,Home_AvgSpread,Home_CumPts,Home_AvgPts,Home_GamesPlayed,Home_DaysPast,Visitor_TotalWins,Visitor_TotalLosses,Visitor_VisitorWins,Visitor_VisitorLosses,Visitor_Streak,Visitor_CumSpread,Visitor_AvgSpread,Visitor_CumPts,Visitor_AvgPts,Visitor_GamesPlayed,Visitor_DaysPast
46,2006-11-06 19:30:00,Portland Trail Blazers,89,Los Angeles Clippers,102,Mon,2,13,1,2,1,2,0,2,-1,-0.3333333333333333,314,104.66666666666667,3,2.0,2,1,1,1,1,-7,-2.3333333333333335,287,95.66666666666667,3,2.0208333333333335
47,2006-11-06 19:30:00,San Antonio Spurs,105,New York Knicks,93,Mon,2,-12,0,1,2,0,1,-2,-23,-7.666666666666667,305,101.66666666666667,3,2.0,2,1,2,0,1,8,2.6666666666666665,281,93.66666666666667,3,1.2708333333333333
48,2006-11-06 19:00:00,Washington Wizards,103,Orlando Magic,106,Mon,2,3,1,1,2,1,1,-2,0,0.0,294,98.0,3,1.2083333333333333,1,1,0,1,1,4,2.0,218,109.0,2,2.0
49,2006-11-06 19:00:00,Minnesota Timberwolves,81,Sacramento Kings,93,Mon,2,12,1,1,2,0,0,-1,-21,-7.0,263,87.66666666666667,3,1.9791666666666667,2,1,1,1,-1,10,3.3333333333333335,290,96.66666666666667,3,2.0
50,2006-11-06 19:00:00,Detroit Pistons,101,Utah Jazz,103,Mon,2,2,1,3,0,2,0,3,38,12.666666666666666,321,107.0,3,2.0,2,1,1,0,2,14,4.666666666666667,293,97.66666666666667,3,1.9791666666666667
51,2006-11-07 19:00:00,Atlanta Hawks,104,Cleveland Cavaliers,95,Tue,3,-9,0,2,1,1,0,-1,6,2.0,273,91.0,3,3.0000000000000004,2,1,0,1,2,10,3.3333333333333335,272,90.66666666666667,3,2.2083333333333335
52,2006-11-07 19:00:00,Philadelphia 76ers,86,Indiana Pacers,97,Tue,3,11,1,2,1,0,1,1,12,4.0,306,102.0,3,2.979166666666667,3,0,1,0,3,24,8.0,300,100.0,3,2.2083333333333335
53,2006-11-07 19:30:00,Minnesota Timberwolves,88,Los Angeles Lakers,95,Tue,3,7,1,3,1,2,0,-1,10,2.5,443,110.75,4,2.0625,2,2,1,2,-2,-2,-0.5,371,92.75,4,1.0208333333333333
54,2006-11-07 19:00:00,Houston Rockets,86,Memphis Grizzlies,80,Tue,3,-6,0,1,2,1,1,-1,3,1.0,299,99.66666666666667,3,2.979166666666667,1,2,0,2,-1,15,5.0,294,98.0,3,2.0416666666666665
55,2006-11-07 19:30:00,Seattle SuperSonics,87,Miami Heat,90,Tue,3,3,1,1,2,1,1,-1,-45,-15.0,255,85.0,3,2.2291666666666665,1,2,0,1,1,6,2.0,335,111.66666666666667,3,2.0625
56,2006-11-07 19:00:00,Golden State Warriors,93,New Orleans/Oklahoma City Hornets,97,Tue,3,4,1,3,0,1,0,3,19,6.333333333333333,287,95.66666666666667,3,2.0416666666666665,2,2,1,1,1,-20,-5.0,389,97.25,4,0.9791666666666666
57,2006-11-08 19:30:00,Charlotte Bobcats,108,Boston Celtics,110,Wed,4,2,1,0,3,0,2,-3,-24,-8.0,292,97.33333333333333,3,4.020833333333333,1,2,0,1,1,-16,-5.333333333333333,274,91.33333333333333,3,4.020833333333333
58,2006-11-08 19:00:00,New York Knicks,109,Denver Nuggets,107,Wed,4,-2,0,0,2,0,1,-2,-4,-2.0,204,102.0,2,5.0,1,3,1,1,-3,-35,-8.75,398,99.5,4,1.9791666666666667
59,2006-11-08 19:30:00,Dallas Mavericks,85,Los Angeles Clippers,103,Wed,4,18,1,3,1,3,0,3,12,3.0,416,104.0,4,2.0,0,3,0,1,-3,-40,-13.333333333333334,271,90.33333333333333,3,2.0
60,2006-11-08 19:00:00,Houston Rockets,97,Milwaukee Bucks,93,Wed,4,-4,0,2,2,1,0,-1,-21,-5.25,386,96.5,4,1.9791666666666667,2,2,1,2,1,21,5.25,380,95.0,4,1.0
61,2006-11-08 19:30:00,Utah Jazz,89,New Jersey Nets,96,Wed,4,7,1,1,1,1,0,-1,4,2.0,187,93.5,2,5.0,4,0,1,0,4,40,10.0,424,106.0,4,2.0208333333333335
62,2006-11-08 19:00:00,Seattle SuperSonics,87,Orlando Magic,88,Wed,4,1,1,2,2,2,1,1,3,0.75,400,100.0,4,2.0,1,3,0,2,-1,3,0.75,422,105.5,4,0.9791666666666666
63,2006-11-08 19:00:00,Los Angeles Lakers,90,Portland Trail Blazers,101,Wed,4,11,1,2,2,1,0,-1,-20,-5.0,376,94.0,4,1.9791666666666667,4,1,1,1,1,17,3.4,538,107.6,5,0.9791666666666666
64,2006-11-08 19:30:00,Detroit Pistons,86,Sacramento Kings,99,Wed,4,13,1,2,2,1,0,1,-9,-2.25,356,89.0,4,2.0208333333333335,2,2,1,1,-1,12,3.0,394,98.5,4,2.0208333333333335
65,2006-11-08 19:00:00,Phoenix Suns,106,San Antonio Spurs,111,Wed,4,5,1,3,1,0,1,2,20,5.0,386,96.5,4,1.9791666666666667,1,3,0,2,-2,-10,-2.5,430,107.5,4,3.9791666666666665
66,2006-11-08 19:00:00,Philadelphia 76ers,104,Toronto Raptors,106,Wed,4,2,1,1,2,1,1,-1,-2,-0.6666666666666666,295,98.33333333333333,3,3.25,3,1,1,1,-1,13,3.25,386,96.5,4,1.0
67,2006-11-08 19:00:00,Indiana Pacers,91,Washington Wizards,117,Wed,4,26,1,1,2,1,0,-1,1,0.3333333333333333,321,107.0,3,2.0,3,1,2,0,2,23,5.75,403,100.75,4,1.0
68,2006-11-09 20:00:00,Chicago Bulls,94,Cleveland Cavaliers,113,Thu,5,19,1,2,2,1,1,-2,-3,-0.75,368,92.0,4,2.0416666666666665,2,2,1,1,1,51,12.75,400,100.0,4,3.0208333333333335
69,2006-11-09 19:30:00,New Orleans/Oklahoma City Hornets,116,Golden State Warriors,121,Thu,5,5,1,2,3,1,1,-1,-24,-4.8,482,96.4,5,2.0208333333333335,4,0,2,0,4,23,5.75,384,96.0,4,2.0208333333333335
70,2006-11-09 20:30:00,Dallas Mavericks,119,Phoenix Suns,112,Thu,5,-7,0,1,4,1,1,-3,-15,-3.0,536,107.2,5,1.0625,0,4,0,2,-4,-58,-14.5,356,89.0,4,1.0416666666666667
71,2006-11-10 19:30:00,Utah Jazz,107,Boston Celtics,100,Fri,6,-7,0,1,3,1,2,1,-22,-5.5,402,100.5,4,2.0,4,1,1,1,-1,33,6.6,513,102.6,5,2.0
72,2006-11-10 19:00:00,Seattle SuperSonics,99,Charlotte Bobcats,85,Fri,6,-14,0,1,3,1,1,-1,-18,-4.5,382,95.5,4,1.9791666666666667,1,4,0,3,-2,2,0.4,509,101.8,5,2.0
73,2006-11-10 19:30:00,New York Knicks,94,Houston Rockets,103,Fri,6,9,1,3,2,1,0,2,25,5.0,477,95.4,5,2.0208333333333335,2,3,2,1,1,-33,-6.6,507,101.4,5,2.0208333333333335
74,2006-11-10 19:00:00,Orlando Magic,83,Indiana Pacers,93,Fri,6,10,1,3,2,1,1,-1,-3,-0.6,494,98.8,5,2.0,3,2,0,1,2,4,0.8,488,97.6,5,2.0
75,2006-11-10 19:30:00,Detroit Pistons,97,Los Angeles Lakers,83,Fri,6,-14,0,4,2,3,0,-1,6,1.0,628,104.66666666666667,6,2.0208333333333335,2,3,1,2,-2,-1,-0.2,480,96.0,5,2.0
76,2006-11-10 20:00:00,Miami Heat,113,New Jersey Nets,106,Fri,6,-7,0,2,1,2,0,1,11,3.6666666666666665,283,94.33333333333333,3,2.0208333333333335,2,2,0,1,1,-42,-10.5,345,86.25,4,3.0208333333333335
77,2006-11-10 19:00:00,Denver Nuggets,108,Philadelphia 76ers,101,Fri,6,-7,0,3,2,2,0,-2,11,2.2,490,98.0,5,2.0,0,3,0,1,-3,-6,-2.0,311,103.66666666666667,3,2.0
78,2006-11-10 19:00:00,New Orleans/Oklahoma City Hornets,91,Portland Trail Blazers,92,Fri,6,1,1,3,2,2,0,1,-9,-1.8,477,95.4,5,2.0,4,1,2,1,-1,18,3.6,500,100.0,5,0.9791666666666666
79,2006-11-10 19:00:00,Atlanta Hawks,111,Toronto Raptors,102,Fri,6,-9,0,2,2,2,1,1,0,0.0,401,100.25,4,2.0,3,1,1,1,3,19,4.75,376,94.0,4,3.0000000000000004
80,2006-11-10 19:00:00,Milwaukee Bucks,111,Washington Wizards,116,Fri,6,5,1,2,2,2,0,1,27,6.75,438,109.5,4,2.0,2,3,1,2,-2,-25,-5.0,479,95.8,5,2.0
81,2006-11-11 19:00:00,Seattle SuperSonics,113,Atlanta Hawks,112,Sat,7,-1,0,4,1,2,0,4,28,5.6,487,97.4,5,1.0,2,4,1,3,1,16,2.6666666666666665,608,101.33333333333333,6,1.0
82,2006-11-11 19:30:00,Indiana Pacers,80,Chicago Bulls,89,Sat,7,9,1,2,3,1,1,-1,32,6.4,494,98.8,5,1.9791666666666667,4,2,2,1,1,7,1.1666666666666667,587,97.83333333333333,6,1.0208333333333333
83,2006-11-11 19:30:00,Boston Celtics,93,Cleveland Cavaliers,94,Sat,7,1,1,3,2,2,1,1,16,3.2,481,96.2,5,1.9791666666666667,1,4,0,1,-1,-29,-5.8,502,100.4,5,1.0
84,2006-11-11 19:30:00,Detroit Pistons,79,Golden State Warriors,111,Sat,7,32,1,3,3,2,1,1,-19,-3.1666666666666665,603,100.5,6,2.0,3,3,2,2,1,13,2.1666666666666665,577,96.16666666666667,6,1.0
85,2006-11-11 19:30:00,Utah Jazz,113,Milwaukee Bucks,111,Sat,7,-2,0,2,4,1,1,-3,-30,-5.0,590,98.33333333333333,6,1.0208333333333333,5,1,2,1,1,40,6.666666666666667,620,103.33333333333333,6,1.0
86,2006-11-11 19:00:00,Orlando Magic,109,Minnesota Timberwolves,98,Sat,7,-11,0,2,3,1,0,-3,-9,-1.8,459,91.8,5,3.9791666666666665,3,3,0,2,-1,-6,-1.0,571,95.16666666666667,6,1.0
87,2006-11-11 19:00:00,Memphis Grizzlies,87,Phoenix Suns,96,Sat,7,9,1,1,5,1,2,-4,-22,-3.6666666666666665,648,108.0,6,1.9375,1,3,0,1,-2,-3,-0.75,379,94.75,4,4.0
88,2006-11-11 19:00:00,New York Knicks,92,San Antonio Spurs,100,Sat,7,8,1,4,1,1,1,3,25,5.0,497,99.4,5,3.0000000000000004,2,4,2,2,-1,-42,-7.0,601,100.16666666666667,6,0.9791666666666666
89,2006-11-12 18:00:00,Denver Nuggets,108,Charlotte Bobcats,101,Sun,1,-7,0,1,4,1,2,-2,-32,-6.4,467,93.4,5,1.9583333333333333,1,3,1,1,1,1,0.25,419,104.75,4,1.9583333333333333
90,2006-11-12 12:30:00,New Orleans/Oklahoma City Hornets,76,Los Angeles Clippers,92,Sun,1,16,1,4,1,4,0,4,30,6.0,519,103.8,5,3.7083333333333335,4,2,2,2,-2,17,2.8333333333333335,591,98.5,6,1.7291666666666667
91,2006-11-12 18:30:00,Memphis Grizzlies,81,Los Angeles Lakers,91,Sun,1,10,1,4,3,3,1,-2,-8,-1.1428571428571428,711,101.57142857142857,7,1.9583333333333333,1,4,0,2,-3,-12,-2.4,466,93.2,5,0.9791666666666666
92,2006-11-12 20:00:00,Houston Rockets,94,Miami Heat,72,Sun,1,-22,0,3,2,2,1,2,-35,-7.0,458,91.6,5,2.0,4,2,2,2,3,34,5.666666666666667,580,96.66666666666667,6,2.0208333333333335
93,2006-11-12 18:00:00,Dallas Mavericks,103,Portland Trail Blazers,96,Sun,1,-7,0,4,2,3,0,2,-8,-1.3333333333333333,569,94.83333333333333,6,1.9583333333333333,1,4,1,2,1,-51,-10.2,475,95.0,5,2.8958333333333335
94,2006-11-12 18:00:00,Toronto Raptors,92,Sacramento Kings,107,Sun,1,15,1,3,2,2,0,2,4,0.8,455,91.0,5,3.9375,2,3,0,1,-1,-9,-1.8,503,100.6,5,1.9583333333333333
95,2006-11-12 18:00:00,New Jersey Nets,105,Washington Wizards,93,Sun,1,-12,0,3,2,3,0,2,32,6.4,554,110.8,5,1.9583333333333333,2,2,0,1,-1,4,1.0,389,97.25,4,1.9166666666666667
96,2006-11-13 19:30:00,Orlando Magic,92,Boston Celtics,89,Mon,2,-3,0,1,5,1,3,-2,-30,-5.0,595,99.16666666666667,6,2.0,4,3,1,2,1,5,0.7142857142857143,680,97.14285714285714,7,2.0208333333333335
97,2006-11-13 19:30:00,Seattle SuperSonics,119,New Jersey Nets,113,Mon,2,-6,0,3,2,2,1,1,16,3.2,494,98.8,5,1.0625,3,4,2,3,2,17,2.4285714285714284,721,103.0,7,2.0208333333333335
98,2006-11-13 19:30:00,Cleveland Cavaliers,102,New York Knicks,96,Mon,2,-6,0,2,5,0,2,-2,-50,-7.142857142857143,693,99.0,7,2.0208333333333335,4,2,1,1,2,17,2.8333333333333335,575,95.83333333333333,6,2.0
99,2006-11-14 19:00:00,Milwaukee Bucks,103,Atlanta Hawks,101,Tue,3,-2,0,4,2,2,1,-1,27,4.5,599,99.83333333333333,6,3.0000000000000004,2,5,1,3,-4,-32,-4.571428571428571,701,100.14285714285714,7,2.979166666666667
100,2006-11-14 19:30:00,Chicago Bulls,99,Dallas Mavericks,111,Tue,3,12,1,2,4,0,2,2,-44,-7.333333333333333,578,96.33333333333333,6,2.0625,3,3,1,2,1,41,6.833333333333333,583,97.16666666666667,6,3.0000000000000004
101,2006-11-14 19:30:00,Toronto Raptors,99,Golden State Warriors,110,Tue,3,11,1,4,3,3,1,2,13,1.8571428571428572,714,102.0,7,3.0000000000000004,2,4,0,2,-2,-24,-4.0,595,99.16666666666667,6,2.0625
102,2006-11-14 19:30:00,San Antonio Spurs,92,Houston Rockets,84,Tue,3,-8,0,5,2,2,0,4,56,8.0,674,96.28571428571429,7,1.9791666666666667,5,1,3,0,4,33,5.5,597,99.5,6,3.0208333333333335
103,2006-11-14 19:30:00,Denver Nuggets,112,Miami Heat,105,Tue,3,-7,0,3,3,2,2,-1,-57,-9.5,530,88.33333333333333,6,1.9791666666666667,2,3,2,1,2,8,1.6,527,105.4,5,2.0625
104,2006-11-14 19:00:00,Portland Trail Blazers,89,Minnesota Timberwolves,101,Tue,3,12,1,2,4,1,1,-4,-20,-3.3333333333333335,557,92.83333333333333,6,3.0000000000000004,4,3,1,2,-1,-15,-2.142857142857143,665,95.0,7,2.0416666666666665
105,2006-11-14 19:00:00,Charlotte Bobcats,85,New Orleans/Oklahoma City Hornets,94,Tue,3,9,1,4,3,2,0,-3,1,0.14285714285714285,667,95.28571428571429,7,2.2708333333333335,1,5,0,2,-3,-39,-6.5,568,94.66666666666667,6,2.0416666666666665
106,2006-11-14 19:00:00,Los Angeles Clippers,90,Utah Jazz,112,Tue,3,22,1,6,1,3,0,2,42,6.0,733,104.71428571428571,7,2.979166666666667,5,1,0,1,5,46,7.666666666666667,611,101.83333333333333,6,2.2708333333333335
107,2006-11-15 19:30:00,Indiana Pacers,88,Boston Celtics,114,Wed,4,26,1,1,6,1,4,-3,-33,-4.714285714285714,684,97.71428571428571,7,2.0,4,3,2,2,-1,-2,-0.2857142857142857,667,95.28571428571429,7,4.0
108,2006-11-15 19:00:00,Portland Trail Blazers,87,Cleveland Cavaliers,100,Wed,4,13,1,5,2,3,1,3,23,3.2857142857142856,677,96.71428571428571,7,1.9791666666666667,4,4,1,3,-2,-27,-3.375,754,94.25,8,1.0
109,2006-11-15 19:30:00,New Orleans/Oklahoma City Hornets,100,Detroit Pistons,99,Wed,4,-1,0,3,4,1,1,-1,-19,-2.7142857142857144,656,93.71428571428571,7,4.0,5,3,2,3,1,10,1.25,761,95.125,8,1.0208333333333333
110,2006-11-15 19:30:00,Milwaukee Bucks,87,New Jersey Nets,100,Wed,4,13,1,3,3,2,2,-1,10,1.6666666666666667,607,101.16666666666667,6,2.0,3,5,2,3,1,-30,-3.75,804,100.5,8,1.0208333333333333
111,2006-11-15 19:30:00,Washington Wizards,82,New York Knicks,102,Wed,4,20,1,2,6,0,3,-3,-56,-7.0,789,98.625,8,2.0,3,3,0,2,-1,20,3.3333333333333335,647,107.83333333333333,6,3.0625
112,2006-11-15 19:00:00,Denver Nuggets,99,Orlando Magic,108,Wed,4,9,1,5,3,3,1,2,8,1.0,772,96.5,8,1.9791666666666667,3,3,3,1,3,15,2.5,639,106.5,6,0.9791666666666666
