Date,Visitor,Visitor_PTS,Home,Home_PTS,Box Score,#OTs,Attend.,Notes
Sun Dec 14 2014 06:00pm,Chicago Bulls,93,Miami Heat,75,Box Score,0,19600,
Sun Dec 14 2014 07:00pm,Los Angeles Lakers,100,Minnesota Timberwolves,94,Box Score,0,15008,
Sun Dec 14 2014 06:00pm,Golden State Warriors,128,New Orleans Pelicans,122,Box Score,1,15037,
Sun Dec 14 2014 07:30pm,Toronto Raptors,95,New York Knicks,90,Box Score,1,19812,
Sun Dec 14 2014 07:00pm,Phoenix Suns,88,Oklahoma City Thunder,112,Box Score,0,18203,
Sun Dec 14 2014 06:00pm,Utah Jazz,84,Washington Wizards,93,Box Score,0,15220,
Mon Dec 15 2014 07:30pm,Chicago Bulls,86,Atlanta Hawks,93,Box Score,0,16805,
Mon Dec 15 2014 07:00pm,Charlotte Hornets,88,Cleveland Cavaliers,97,Box Score,0,20562,
Mon Dec 15 2014 07:00pm,Los Angeles Lakers,91,Indiana Pacers,110,Box Score,0,15261,
Mon Dec 15 2014 10:30pm,Detroit Pistons,91,Los Angeles Clippers,113,Box Score,0,19060,
Mon Dec 15 2014 07:00pm,Boston Celtics,105,Philadelphia 76ers,87,Box Score,0,12903,
Mon Dec 15 2014 09:00pm,Milwaukee Bucks,96,Phoenix Suns,94,Box Score,0,17327,
Mon Dec 15 2014 10:00pm,San Antonio Spurs,95,Portland Trail Blazers,108,Box Score,0,19441,
Mon Dec 15 2014 07:30pm,Orlando Magic,82,Toronto Raptors,95,Box Score,0,19800,
Tue Dec 16 2014 07:30pm,Miami Heat,95,Brooklyn Nets,91,Box Score,0,16827,
Tue Dec 16 2014 08:00pm,Golden State Warriors,98,Memphis Grizzlies,105,Box Score,0,18119,
Tue Dec 16 2014 08:00pm,Utah Jazz,111,New Orleans Pelicans,119,Box Score,0,13179,
Tue Dec 16 2014 08:00pm,Dallas Mavericks,107,New York Knicks,87,Box Score,0,19812,
Tue Dec 16 2014 10:30pm,Oklahoma City Thunder,104,Sacramento Kings,92,Box Score,0,17317,
Tue Dec 16 2014 07:00pm,Minnesota Timberwolves,95,Washington Wizards,109,Box Score,0,15823,
Wed Dec 17 2014 07:30pm,Orlando Magic,92,Boston Celtics,109,Box Score,0,16764,
Wed Dec 17 2014 07:00pm,Phoenix Suns,111,Charlotte Hornets,106,Box Score,0,15459,
Wed Dec 17 2014 07:00pm,Atlanta Hawks,127,Cleveland Cavaliers,98,Box Score,0,20562,
Wed Dec 17 2014 10:30pm,Houston Rockets,115,Denver Nuggets,111,Box Score,1,12107,
Wed Dec 17 2014 07:30pm,Dallas Mavericks,117,Detroit Pistons,106,Box Score,0,12287,
Wed Dec 17 2014 10:30pm,Indiana Pacers,100,Los Angeles Clippers,102,Box Score,0,19060,
Wed Dec 17 2014 07:30pm,Utah Jazz,105,Miami Heat,87,Box Score,0,19633,
Wed Dec 17 2014 10:00pm,Milwaukee Bucks,97,Portland Trail Blazers,104,Box Score,0,19495,
Wed Dec 17 2014 08:30pm,Memphis Grizzlies,117,San Antonio Spurs,116,Box Score,3,18581,
Wed Dec 17 2014 08:00pm,Brooklyn Nets,89,Toronto Raptors,105,Box Score,0,19800,
Thu Dec 18 2014 08:00pm,New York Knicks,97,Chicago Bulls,103,Box Score,0,21875,
Thu Dec 18 2014 10:30pm,Oklahoma City Thunder,109,Golden State Warriors,114,Box Score,0,19596,
Thu Dec 18 2014 08:30pm,New Orleans Pelicans,99,Houston Rockets,90,Box Score,0,18137,
Thu Dec 18 2014 10:00pm,Milwaukee Bucks,108,Sacramento Kings,107,Box Score,0,15645,
Fri Dec 19 2014 07:30pm,Minnesota Timberwolves,98,Boston Celtics,114,Box Score,0,17042,
Fri Dec 19 2014 07:30pm,Brooklyn Nets,91,Cleveland Cavaliers,95,Box Score,0,20562,
Fri Dec 19 2014 09:00pm,Los Angeles Clippers,106,Denver Nuggets,109,Box Score,0,15030,
Fri Dec 19 2014 07:30pm,Toronto Raptors,110,Detroit Pistons,100,Box Score,0,16274,
Fri Dec 19 2014 10:30pm,Oklahoma City Thunder,104,Los Angeles Lakers,103,Box Score,0,18997,
Fri Dec 19 2014 08:00pm,Chicago Bulls,103,Memphis Grizzlies,97,Box Score,0,18119,
Fri Dec 19 2014 07:30pm,Washington Wizards,105,Miami Heat,103,Box Score,0,19600,
Fri Dec 19 2014 07:00pm,Utah Jazz,101,Orlando Magic,94,Box Score,0,16032,
Fri Dec 19 2014 07:00pm,Charlotte Hornets,109,Philadelphia 76ers,91,Box Score,0,13398,
Fri Dec 19 2014 08:00pm,Portland Trail Blazers,129,San Antonio Spurs,119,Box Score,3,18581,
Sat Dec 20 2014 07:00pm,Utah Jazz,86,Charlotte Hornets,104,Box Score,0,17384,
Sat Dec 20 2014 08:30pm,San Antonio Spurs,93,Dallas Mavericks,99,Box Score,0,20504,
