Date,Visitor,Visitor_PTS,Home,Home_PTS,Box Score,#OTs,Attend.
Wed Mar 18 2015 10:30pm,Washington Wizards,88,Utah Jazz,84,Box Score,0,19498
Thu Mar 19 2015 08:00pm,Denver Nuggets,108,Houston Rockets,118,Box Score,0,18456
Thu Mar 19 2015 10:30pm,Utah Jazz,80,Los Angeles Lakers,73,Box Score,0,17407
Thu Mar 19 2015 07:30pm,Minnesota Timberwolves,95,New York Knicks,92,Box Score,1,19812
Thu Mar 19 2015 10:00pm,New Orleans Pelicans,72,Phoenix Suns,74,Box Score,0,18055
Fri Mar 20 2015 07:30pm,Milwaukee Bucks,127,Brooklyn Nets,129,Box Score,3,16272
Fri Mar 20 2015 08:00pm,Toronto Raptors,92,Chicago Bulls,108,Box Score,0,21998
Fri Mar 20 2015 07:30pm,Indiana Pacers,92,Cleveland Cavaliers,95,Box Score,0,20562
Fri Mar 20 2015 08:30pm,Memphis Grizzlies,112,Dallas Mavericks,101,Box Score,0,20399
Fri Mar 20 2015 10:30pm,New Orleans Pelicans,96,Golden State Warriors,112,Box Score,0,19596
Fri Mar 20 2015 10:30pm,Washington Wizards,99,Los Angeles Clippers,113,Box Score,0,19218
Fri Mar 20 2015 07:30pm,Denver Nuggets,91,Miami Heat,108,Box Score,0,19710
Fri Mar 20 2015 08:00pm,Atlanta Hawks,115,Oklahoma City Thunder,123,Box Score,0,18203
Fri Mar 20 2015 07:00pm,Portland Trail Blazers,104,Orlando Magic,111,Box Score,0,16203
Fri Mar 20 2015 07:00pm,New York Knicks,81,Philadelphia 76ers,97,Box Score,0,10079
Fri Mar 20 2015 10:00pm,Charlotte Hornets,91,Sacramento Kings,101,Box Score,0,16799
Fri Mar 20 2015 08:30pm,Boston Celtics,89,San Antonio Spurs,101,Box Score,0,18581
Sat Mar 21 2015 07:30pm,Chicago Bulls,91,Detroit Pistons,107,Box Score,0,20347
Sat Mar 21 2015 10:30pm,Utah Jazz,91,Golden State Warriors,106,Box Score,0,19596
Sat Mar 21 2015 08:00pm,Phoenix Suns,117,Houston Rockets,102,Box Score,0,18340
Sat Mar 21 2015 07:00pm,Brooklyn Nets,123,Indiana Pacers,111,Box Score,0,16453
Sat Mar 21 2015 08:00pm,Portland Trail Blazers,86,Memphis Grizzlies,97,Box Score,0,17898
Sun Mar 22 2015 03:00pm,San Antonio Spurs,114,Atlanta Hawks,95,Box Score,0,19193
Sun Mar 22 2015 06:00pm,Detroit Pistons,105,Boston Celtics,97,Box Score,1,18624
Sun Mar 22 2015 03:30pm,New Orleans Pelicans,100,Los Angeles Clippers,107,Box Score,0,19299
Sun Mar 22 2015 09:30pm,Philadelphia 76ers,87,Los Angeles Lakers,101,Box Score,0,17891
Sun Mar 22 2015 03:00pm,Cleveland Cavaliers,108,Milwaukee Bucks,90,Box Score,0,16687
Sun Mar 22 2015 07:00pm,Charlotte Hornets,109,Minnesota Timberwolves,98,Box Score,0,15262
Sun Mar 22 2015 03:00pm,Miami Heat,75,Oklahoma City Thunder,93,Box Score,0,18203
Sun Mar 22 2015 06:00pm,Denver Nuggets,119,Orlando Magic,100,Box Score,0,15788
Sun Mar 22 2015 09:00pm,Dallas Mavericks,92,Phoenix Suns,98,Box Score,0,17435
Sun Mar 22 2015 06:00pm,Washington Wizards,86,Sacramento Kings,109,Box Score,0,17008
Sun Mar 22 2015 04:00pm,New York Knicks,89,Toronto Raptors,106,Box Score,0,19800
Mon Mar 23 2015 07:30pm,Boston Celtics,110,Brooklyn Nets,91,Box Score,0,16814
Mon Mar 23 2015 08:00pm,Charlotte Hornets,86,Chicago Bulls,98,Box Score,0,21646
Mon Mar 23 2015 10:30pm,Washington Wizards,76,Golden State Warriors,107,Box Score,0,19596
Mon Mar 23 2015 07:00pm,Houston Rockets,110,Indiana Pacers,100,Box Score,0,16201
Mon Mar 23 2015 07:30pm,Memphis Grizzlies,103,New York Knicks,82,Box Score,0,19812
Mon Mar 23 2015 09:00pm,Minnesota Timberwolves,106,Utah Jazz,104,Box Score,1,19911
Tue Mar 24 2015 08:00pm,San Antonio Spurs,94,Dallas Mavericks,101,Box Score,0,20328
Tue Mar 24 2015 07:30pm,Toronto Raptors,104,Detroit Pistons,108,Box Score,0,14420
Tue Mar 24 2015 08:00pm,Miami Heat,88,Milwaukee Bucks,89,Box Score,0,12313
Tue Mar 24 2015 08:00pm,Los Angeles Lakers,117,Oklahoma City Thunder,127,Box Score,0,18203
Tue Mar 24 2015 10:30pm,Golden State Warriors,122,Portland Trail Blazers,108,Box Score,0,19985
Tue Mar 24 2015 10:00pm,Philadelphia 76ers,106,Sacramento Kings,107,Box Score,0,16636
Wed Mar 25 2015 07:30pm,Miami Heat,93,Boston Celtics,86,Box Score,0,18624
Wed Mar 25 2015 07:00pm,Brooklyn Nets,91,Charlotte Hornets,88,Box Score,0,15091
Wed Mar 25 2015 09:00pm,Philadelphia 76ers,99,Denver Nuggets,85,Box Score,0,14068
Wed Mar 25 2015 08:00pm,Cleveland Cavaliers,111,Memphis Grizzlies,89,Box Score,0,18119
Wed Mar 25 2015 08:00pm,Los Angeles Lakers,101,Minnesota Timberwolves,99,Box Score,1,13438
Wed Mar 25 2015 08:00pm,Houston Rockets,95,New Orleans Pelicans,93,Box Score,0,17077
Wed Mar 25 2015 07:00pm,Los Angeles Clippers,111,New York Knicks,80,Box Score,0,19812
Wed Mar 25 2015 07:00pm,Atlanta Hawks,95,Orlando Magic,83,Box Score,0,17224
Wed Mar 25 2015 10:00pm,Sacramento Kings,108,Phoenix Suns,99,Box Score,0,17589
Wed Mar 25 2015 09:30pm,Oklahoma City Thunder,91,San Antonio Spurs,130,Box Score,0,18581
Wed Mar 25 2015 07:00pm,Chicago Bulls,116,Toronto Raptors,103,Box Score,0,19800
Wed Mar 25 2015 09:00pm,Portland Trail Blazers,92,Utah Jazz,89,Box Score,0,19911
Wed Mar 25 2015 07:00pm,Indiana Pacers,103,Washington Wizards,101,Box Score,0,18514
Thu Mar 26 2015 08:00pm,Indiana Pacers,107,Milwaukee Bucks,111,Box Score,0,15366
Fri Mar 27 2015 07:30pm,Miami Heat,86,Atlanta Hawks,99,Box Score,0,19233
Fri Mar 27 2015 07:30pm,Cleveland Cavaliers,98,Brooklyn Nets,106,Box Score,0,17732
Fri Mar 27 2015 09:00pm,Utah Jazz,91,Denver Nuggets,107,Box Score,0,15312
Fri Mar 27 2015 08:00pm,Minnesota Timberwolves,110,Houston Rockets,120,Box Score,0,18322
Fri Mar 27 2015 08:00pm,Golden State Warriors,107,Memphis Grizzlies,84,Box Score,0,18119
Fri Mar 27 2015 08:00pm,Sacramento Kings,88,New Orleans Pelicans,102,Box Score,0,17669
Fri Mar 27 2015 07:30pm,Boston Celtics,96,New York Knicks,92,Box Score,0,19812
Fri Mar 27 2015 07:00pm,Detroit Pistons,111,Orlando Magic,97,Box Score,0,16427
Fri Mar 27 2015 07:00pm,Los Angeles Clippers,119,Philadelphia 76ers,98,Box Score,0,16070
Fri Mar 27 2015 10:00pm,Portland Trail Blazers,87,Phoenix Suns,81,Box Score,0,17219
Fri Mar 27 2015 08:30pm,Dallas Mavericks,76,San Antonio Spurs,94,Box Score,0,18581
Fri Mar 27 2015 07:30pm,Los Angeles Lakers,83,Toronto Raptors,94,Box Score,0,19800
Fri Mar 27 2015 07:00pm,Charlotte Hornets,107,Washington Wizards,110,Box Score,2,18441
Sat Mar 28 2015 08:00pm,New York Knicks,80,Chicago Bulls,111,Box Score,0,22152
Sat Mar 28 2015 07:00pm,Atlanta Hawks,100,Charlotte Hornets,115,Box Score,0,19122
Sat Mar 28 2015 08:30pm,Golden State Warriors,108,Milwaukee Bucks,95,Box Score,0,18717
Sat Mar 28 2015 10:00pm,Denver Nuggets,114,Portland Trail Blazers,120,Box Score,0,19769
Sat Mar 28 2015 09:00pm,Oklahoma City Thunder,89,Utah Jazz,94,Box Score,0,19911
Sun Mar 29 2015 06:00pm,Los Angeles Clippers,119,Boston Celtics,106,Box Score,0,18624
Sun Mar 29 2015 03:30pm,Los Angeles Lakers,99,Brooklyn Nets,107,Box Score,0,17732
Sun Mar 29 2015 04:30pm,Philadelphia 76ers,86,Cleveland Cavaliers,87,Box Score,0,20562
Sun Mar 29 2015 07:00pm,Dallas Mavericks,99,Indiana Pacers,104,Box Score,0,17358
Sun Mar 29 2015 06:00pm,Detroit Pistons,102,Miami Heat,109,Box Score,0,19685
Sun Mar 29 2015 04:00pm,Minnesota Timberwolves,88,New Orleans Pelicans,110,Box Score,0,17576
Sun Mar 29 2015 09:00pm,Oklahoma City Thunder,109,Phoenix Suns,97,Box Score,0,17538
Sun Mar 29 2015 07:00pm,Memphis Grizzlies,89,San Antonio Spurs,103,Box Score,0,18581
Sun Mar 29 2015 12:30pm,Houston Rockets,99,Washington Wizards,91,Box Score,0,20356
Mon Mar 30 2015 07:30pm,Milwaukee Bucks,88,Atlanta Hawks,101,Box Score,0,18453
Mon Mar 30 2015 07:00pm,Boston Celtics,116,Charlotte Hornets,104,Box Score,0,15140
Mon Mar 30 2015 08:00pm,Sacramento Kings,83,Memphis Grizzlies,97,Box Score,0,17218
Mon Mar 30 2015 08:00pm,Utah Jazz,104,Minnesota Timberwolves,84,Box Score,0,12229
Mon Mar 30 2015 07:00pm,Los Angeles Lakers,113,Philadelphia 76ers,111,Box Score,1,13501
Mon Mar 30 2015 10:00pm,Phoenix Suns,86,Portland Trail Blazers,109,Box Score,0,19441
Mon Mar 30 2015 07:30pm,Houston Rockets,96,Toronto Raptors,99,Box Score,0,19800
Tue Mar 31 2015 07:30pm,Indiana Pacers,106,Brooklyn Nets,111,Box Score,0,16756
Tue Mar 31 2015 07:30pm,Atlanta Hawks,95,Detroit Pistons,105,Box Score,0,14242
Tue Mar 31 2015 10:30pm,Golden State Warriors,110,Los Angeles Clippers,106,Box Score,0,19601
Tue Mar 31 2015 08:00pm,San Antonio Spurs,95,Miami Heat,81,Box Score,0,20047
